sls file,sls result,sls duration,cvc5 lia filename,cvc5 lia result,cvc5 lia duration,unfold5 file,unfold5 result,unfold5 duration,no_interp file,no_interp result,no_interp duration,sqlsolver filename,sqlsolver result,sqlsolver duration
bapa/arith/fol_0000067.smt2,unsat,0.608504295,benchmarks/bapa/arith/cvc5_bapa/fol_0000067.smt2,unsat,0.114636183,bapa/arith/fol_0000067.smt2,unsat,0.675191879,bapa/arith/fol_0000067.smt2,unsat,4.010881424,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000067.smt2,UNSAT,0.237
bapa/arith/fol_0000068.smt2,unsat,0.223846197,benchmarks/bapa/arith/cvc5_bapa/fol_0000068.smt2,unsat,0.114525318,bapa/arith/fol_0000068.smt2,unsat,0.637401819,bapa/arith/fol_0000068.smt2,unsat,8.526550055,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000068.smt2,UNSAT,0.225
bapa/arith/fol_0000069.smt2,sat,0.552662611,benchmarks/bapa/arith/cvc5_bapa/fol_0000069.smt2,sat,0.119013548,bapa/arith/fol_0000069.smt2,sat,1.51591444,bapa/arith/fol_0000069.smt2,sat,0.825907946,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000069.smt2,SAT,0.23
bapa/arith/fol_0000070.smt2,unsat,0.223888397,benchmarks/bapa/arith/cvc5_bapa/fol_0000070.smt2,unsat,0.115196943,bapa/arith/fol_0000070.smt2,unsat,0.692122698,bapa/arith/fol_0000070.smt2,unsat,10.67152238,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000070.smt2,UNSAT,0.243
bapa/arith/fol_0000071.smt2,sat,0.51312685,benchmarks/bapa/arith/cvc5_bapa/fol_0000071.smt2,sat,0.120176554,bapa/arith/fol_0000071.smt2,sat,0.56930089,bapa/arith/fol_0000071.smt2,sat,0.75714612,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000071.smt2,SAT,0.224
bapa/arith/fol_0000072.smt2,sat,0.191460133,benchmarks/bapa/arith/cvc5_bapa/fol_0000072.smt2,sat,0.11971426,bapa/arith/fol_0000072.smt2,sat,1.556163788,bapa/arith/fol_0000072.smt2,sat,0.778676033,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000072.smt2,SAT,0.239
bapa/arith/fol_0000073.smt2,sat,0.589628935,benchmarks/bapa/arith/cvc5_bapa/fol_0000073.smt2,sat,0.017429113,bapa/arith/fol_0000073.smt2,sat,0.595197201,bapa/arith/fol_0000073.smt2,sat,1.912238359,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000073.smt2,SAT,0.011
bapa/arith/fol_0000074.smt2,sat,0.424207211,benchmarks/bapa/arith/cvc5_bapa/fol_0000074.smt2,sat,0.125005245,bapa/arith/fol_0000074.smt2,sat,1.49840045,bapa/arith/fol_0000074.smt2,sat,0.769176722,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000074.smt2,SAT,0.394
bapa/arith/fol_0000075.smt2,sat,0.560927629,benchmarks/bapa/arith/cvc5_bapa/fol_0000075.smt2,sat,0.122902155,bapa/arith/fol_0000075.smt2,sat,1.916127205,bapa/arith/fol_0000075.smt2,sat,0.74249959,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000075.smt2,SAT,0.551
bapa/arith/fol_0000076.smt2,sat,0.188923597,benchmarks/bapa/arith/cvc5_bapa/fol_0000076.smt2,sat,0.123332739,bapa/arith/fol_0000076.smt2,sat,0.601834536,bapa/arith/fol_0000076.smt2,sat,0.700893879,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000076.smt2,SAT,0.232
