name,sat,problem_size,sls_size,z3_calls,interpolants_generated,merges,shiftdowns,offsets,total_time,reduction_time,augment_time,interpolation_time,solution_time
bapa/arith/fol_0000035.smt2,1,6,7,88,5,3,1,0,0.7195262908935547,0.1694016456604004,0.04608893394470215,0.2582530975341797,0.12787294387817383
bapa/arith/fol_0000036.smt2,1,6,8,94,6,3,0,0,0.7607583999633789,0.16053438186645508,0.054121971130371094,0.27946043014526367,0.15893959999084473
bapa/arith/fol_0000037.smt2,1,6,7,73,4,3,0,0,0.614008903503418,0.12947893142700195,0.04626941680908203,0.19710564613342285,0.13047027587890625
bapa/arith/fol_0000038.smt2,0,6,1,9,2,0,0,0,0.15881991386413574,0,0.005079984664916992,0.03009343147277832,0.015518426895141602
bapa/arith/fol_0000039.smt2,1,6,6,65,5,3,0,0,0.5514202117919922,0.10657095909118652,0.039131879806518555,0.19782018661499023,0.09279084205627441
bapa/arith/fol_0000040.smt2,0,6,1,9,2,0,0,0,0.15936636924743652,0,0.005377769470214844,0.029819965362548828,0.016826391220092773
bapa/arith/fol_0000041.smt2,1,6,8,100,5,4,2,0,0.7922384738922119,0.20573163032531738,0.0542905330657959,0.26619744300842285,0.15447545051574707
bapa/arith/fol_0000042.smt2,1,6,3,17,1,1,0,0,0.21148061752319336,0.01066136360168457,0.017045974731445312,0.04085803031921387,0.03462958335876465
bapa/arith/fol_0000043.smt2,1,7,2,9,1,0,0,0,0.16698408126831055,1.2159347534179688e-05,0.011449337005615234,0.021441936492919922,0.02491474151611328
bapa/arith/fol_0000044.smt2,1,6,7,75,3,3,2,0,0.6180002689361572,0.14368581771850586,0.046831607818603516,0.19373798370361328,0.12474751472473145
bapa/arith/fol_0000045.smt2,0,7,2,17,3,0,0,0,0.2247483730316162,1.4781951904296875e-05,0.011768341064453125,0.07053732872009277,0.028692007064819336
bapa/arith/fol_0000046.smt2,1,7,2,9,1,0,0,0,0.1784839630126953,1.049041748046875e-05,0.011562108993530273,0.022409439086914062,0.028972625732421875
bapa/arith/fol_0000047.smt2,0,7,2,15,2,0,0,0,0.21914124488830566,1.0967254638671875e-05,0.011879205703735352,0.061983585357666016,0.03189516067504883
bapa/arith/fol_0000048.smt2,1,7,5,43,2,2,0,0,0.42846250534057617,0.07399392127990723,0.03178119659423828,0.11620616912841797,0.08841204643249512
bapa/arith/fol_0000049.smt2,1,7,6,50,2,2,0,0,0.5245864391326904,0.07448029518127441,0.04022026062011719,0.15467095375061035,0.1326608657836914
bapa/arith/fol_0000050.smt2,1,7,9,124,6,5,1,2,1.5994741916656494,0.3013191223144531,0.06865882873535156,0.36043214797973633,0.24704861640930176
bapa/arith/fol_0000051.smt2,1,7,6,60,5,2,0,0,0.5793876647949219,0.07549095153808594,0.040069580078125,0.21685218811035156,0.12301516532897949
bapa/arith/fol_0000052.smt2,1,7,6,55,4,2,0,0,0.547065019607544,0.07508230209350586,0.039986610412597656,0.1819438934326172,0.12665557861328125
bapa/arith/fol_0000053.smt2,1,7,5,42,2,2,0,0,0.4397435188293457,0.07066607475280762,0.03253030776977539,0.11684322357177734,0.09525775909423828
bapa/arith/fol_0000054.smt2,1,7,2,9,1,0,0,0,0.18849515914916992,1.0967254638671875e-05,0.01203465461730957,0.024770736694335938,0.03295326232910156
bapa/arith/fol_0000055.smt2,0,6,1,9,2,0,0,0,0.17217445373535156,0,0.005171060562133789,0.0329282283782959,0.01911616325378418
bapa/arith/fol_0000056.smt2,1,6,7,87,5,3,0,0,0.7248461246490479,0.15448999404907227,0.04614138603210449,0.2694411277770996,0.13440990447998047
