filename,cvc5 result,cvc5 duration,sls,sls result,sls duration,is match
benchmarks/bapa/arith/cvc5/fol_0000059.smt2,unsat,0.004862785,bapa/arith/fol_0000059.smt2,  unsat,0.182754755,TRUE
benchmarks/bapa/arith/cvc5/fol_0000060.smt2,unsat,0.009310722,bapa/arith/fol_0000060.smt2,  unsat,0.256486654,TRUE
benchmarks/bapa/arith/cvc5/fol_0000061.smt2,unsat,0.009215593,bapa/arith/fol_0000061.smt2,  unsat,0.273725986,TRUE
benchmarks/bapa/arith/cvc5/fol_0000062.smt2,sat,0.006413221,bapa/arith/fol_0000062.smt2,sat,0.428608418,TRUE
benchmarks/bapa/arith/cvc5/fol_0000063.smt2,unsat,0.008435726,bapa/arith/fol_0000063.smt2,  unsat,1.031116009,TRUE
benchmarks/bapa/arith/cvc5/fol_0000064.smt2,unsat,0.004891634,bapa/arith/fol_0000064.smt2,  unsat,0.17288208,TRUE
benchmarks/bapa/arith/cvc5/fol_0000065.smt2,unsat,0.007757664,bapa/arith/fol_0000065.smt2,  unsat,0.251242161,TRUE
benchmarks/bapa/arith/cvc5/fol_0000066.smt2,unsat,0.008681297,bapa/arith/fol_0000066.smt2,  unsat,0.254142046,TRUE
benchmarks/bapa/arith/cvc5/fol_0000067.smt2,unsat,0.007618427,bapa/arith/fol_0000067.smt2,  unsat,0.275184155,TRUE
benchmarks/bapa/arith/cvc5/fol_0000068.smt2,unsat,0.007925749,bapa/arith/fol_0000068.smt2,  unsat,0.261825085,TRUE
benchmarks/bapa/arith/cvc5/fol_0000069.smt2,sat,0.005679131,bapa/arith/fol_0000069.smt2,sat,0.41223073,TRUE
benchmarks/bapa/arith/cvc5/fol_0000070.smt2,unsat,0.008744478,bapa/arith/fol_0000070.smt2,  unsat,0.245085955,TRUE
benchmarks/bapa/arith/cvc5/fol_0000071.smt2,sat,0.005518675,bapa/arith/fol_0000071.smt2,sat,0.219529152,TRUE
benchmarks/bapa/arith/cvc5/fol_0000072.smt2,sat,0.005944729,bapa/arith/fol_0000072.smt2,sat,0.225695133,TRUE
benchmarks/bapa/arith/cvc5/fol_0000073.smt2,sat,0.006023884,bapa/arith/fol_0000073.smt2,sat,0.148993731,TRUE
benchmarks/bapa/arith/cvc5/fol_0000074.smt2,sat,0.006092787,bapa/arith/fol_0000074.smt2,sat,0.223978996,TRUE
benchmarks/bapa/arith/cvc5/fol_0000075.smt2,sat,0.006448746,bapa/arith/fol_0000075.smt2,sat,0.213077307,TRUE
benchmarks/bapa/arith/cvc5/fol_0000076.smt2,sat,0.006463051,bapa/arith/fol_0000076.smt2,sat,0.533790827,TRUE
benchmarks/bapa/arith/cvc5/fol_0000077.smt2,sat,0.005935669,bapa/arith/fol_0000077.smt2,sat,0.529243946,TRUE
benchmarks/bapa/arith/cvc5/fol_0000078.smt2,unsat,0.005870581,bapa/arith/fol_0000078.smt2,  unsat,0.183238983,TRUE
benchmarks/bapa/arith/cvc5/fol_0000079.smt2,sat,0.005876303,bapa/arith/fol_0000079.smt2,sat,0.507038832,TRUE
