sls filename,sls result,sls duration,cvc5 lia filename,cvc5 lia result,cvc5 lia duration,lia normaliz,lia normaliz result,lia normaliz duration,unfold5 filename,unfold5 result,unfold5 duration,no_interp filename,no_interp result,no_interp duration
bapa/arith/fol_0000029.smt2,sat,0.221711397,benchmarks/bapa/arith/cvc5_mapa/fol_0000029.smt2,sat,0.018465757,benchmarks/bapa/arith/cvc5_mapa/fol_0000029.smt2,sat,0.019520044,bapa/arith/fol_0000029.smt2,sat,0.405561209,bapa/arith/fol_0000029.smt2,sat,0.277507544
bapa/arith/fol_0000030.smt2,unsat,0.153227568,benchmarks/bapa/arith/cvc5_mapa/fol_0000030.smt2,unsat,0.010426521,benchmarks/bapa/arith/cvc5_mapa/fol_0000030.smt2,unsat,0.010258198,bapa/arith/fol_0000030.smt2,unsat,0.170825005,bapa/arith/fol_0000030.smt2,unsat,0.35166502
bapa/arith/fol_0000031.smt2,sat,0.29910326,benchmarks/bapa/arith/cvc5_mapa/fol_0000031.smt2,sat,0.010781527,benchmarks/bapa/arith/cvc5_mapa/fol_0000031.smt2,sat,0.012818336,bapa/arith/fol_0000031.smt2,sat,0.361584425,bapa/arith/fol_0000031.smt2,sat,0.213577509
bapa/arith/fol_0000032.smt2,unsat,0.156048059,benchmarks/bapa/arith/cvc5_mapa/fol_0000032.smt2,unsat,0.010917425,benchmarks/bapa/arith/cvc5_mapa/fol_0000032.smt2,unsat,0.010745287,bapa/arith/fol_0000032.smt2,unsat,0.173403025,bapa/arith/fol_0000032.smt2,unsat,0.362262964
bapa/arith/fol_0000033.smt2,sat,0.295488834,benchmarks/bapa/arith/cvc5_mapa/fol_0000033.smt2,sat,0.013753653,benchmarks/bapa/arith/cvc5_mapa/fol_0000033.smt2,sat,0.012261391,bapa/arith/fol_0000033.smt2,sat,0.368618488,bapa/arith/fol_0000033.smt2,sat,0.213076591
bapa/arith/fol_0000034.smt2,unsat,0.150892019,benchmarks/bapa/arith/cvc5_mapa/fol_0000034.smt2,unsat,0.010674477,benchmarks/bapa/arith/cvc5_mapa/fol_0000034.smt2,unsat,0.01102376,bapa/arith/fol_0000034.smt2,unsat,0.172229052,bapa/arith/fol_0000034.smt2,unsat,0.362877369
bapa/arith/fol_0000035.smt2,sat,0.300153255,benchmarks/bapa/arith/cvc5_mapa/fol_0000035.smt2,sat,0.012748718,benchmarks/bapa/arith/cvc5_mapa/fol_0000035.smt2,sat,0.012033463,bapa/arith/fol_0000035.smt2,sat,0.380515814,bapa/arith/fol_0000035.smt2,sat,0.222549915
bapa/arith/fol_0000036.smt2,sat,0.285773754,benchmarks/bapa/arith/cvc5_mapa/fol_0000036.smt2,sat,0.011905909,benchmarks/bapa/arith/cvc5_mapa/fol_0000036.smt2,sat,0.01118207,bapa/arith/fol_0000036.smt2,sat,0.341792822,bapa/arith/fol_0000036.smt2,sat,0.206335068
bapa/arith/fol_0000037.smt2,sat,0.293341637,benchmarks/bapa/arith/cvc5_mapa/fol_0000037.smt2,sat,0.012559175,benchmarks/bapa/arith/cvc5_mapa/fol_0000037.smt2,sat,0.01233077,bapa/arith/fol_0000037.smt2,sat,0.35462904,bapa/arith/fol_0000037.smt2,sat,0.213215351
bapa/arith/fol_0000038.smt2,unsat,0.168230534,benchmarks/bapa/arith/cvc5_mapa/fol_0000038.smt2,unsat,0.009615898,benchmarks/bapa/arith/cvc5_mapa/fol_0000038.smt2,unsat,0.0109272,bapa/arith/fol_0000038.smt2,unsat,0.173708916,bapa/arith/fol_0000038.smt2,unsat,0.360578775
